	V	I
	kv	A
13.72	-0.56	0.0112
13.76	-0.64	0.0112
13.8	-0.56	0.0144
13.84	-0.56	0.0096
13.88	-0.56	0.0096
13.92	-0.56	0.0128
13.96	-0.64	0.0128
14	-0.64	0.0104
14.04	-0.64	0.0152
14.08	-0.64	0.0112
14.12	-0.64	0.0112
14.16	-0.64	0.0136
14.2	-0.64	0.0104
14.24	-0.64	0.0024
14.28	-0.72	0.0096
14.32	-0.56	0.0176
14.36	-0.56	0.024
14.4	-0.64	0.008
14.44	-0.56	-0.0024
14.48	-0.64	8E-4
14.52	-0.64	0.0104
14.56	-0.72	0.016
14.6	-0.8	0.016
14.64	-0.8	0.008
14.68	-0.72	0.0024
14.72	-0.72	0.0024
14.76	-0.72	0.008
14.8	-0.72	0.0144
14.84	-0.88	0.0128
14.88	-0.8	0.008
14.92	-0.8	0.004
14.96	-0.88	0.0048
