Decimated X1	Decimated Y1
	Dezimation von "Ampl"
4.029998829E-5	9.1494141E-4
4.039998829E-5	8.0683594E-4
4.049998829E-5	7.6333008E-4
4.059998829E-5	4.996582E-4
4.069998829E-5	5.2734375E-4
4.079998829E-5	1.1865234E-4
4.089998829E-5	3.0322266E-5
4.099998829E-5	-3.2958984E-5
4.109998829E-5	-5.4052734E-5
4.119998829E-5	-3.5727539E-4
4.129998829E-5	-6.2226562E-4
4.139998829E-5	-6.9477539E-4
4.149998829E-5	-6.1171875E-4
4.159998829E-5	-7.3300781E-4
4.169998829E-5	-8.5957031E-4
4.179998829E-5	-8.5561523E-4
4.189998829E-5	-0.001232666
4.199998829E-5	-9.3735352E-4
4.209998829E-5	-8.9648438E-4
4.219998829E-5	-9.1362305E-4
4.229998829E-5	-8.4902344E-4
4.239998829E-5	-8.9648438E-4
4.249998829E-5	-9.9667969E-4
4.259998829E-5	-5.1020508E-4
4.269998829E-5	-0.0018878906
4.279998829E-5	-0.0066695801
4.289998829E-5	-0.0092680664
4.299998829E-5	-0.011449951
4.309998829E-5	-0.013373437
4.319998829E-5	-0.014509863
4.329998829E-5	-0.014707617
4.339998829E-5	-0.013558008
4.349998829E-5	-0.011568604
4.359998829E-5	-0.0091744629
4.369998829E-5	-0.0061567383
4.379998829E-5	-0.0028489746
4.389998829E-5	1.2919922E-4
4.399998829E-5	0.0031390137
4.409998829E-5	0.0054791016
4.419998829E-5	0.0071600098
4.429998829E-5	0.0091533691
4.439998829E-5	0.0098178223
4.449998829E-5	0.0085376953
4.459998829E-5	0.0065140137
4.469998829E-5	0.0039682617
4.479998829E-5	8.8330078E-4
4.489998829E-5	-0.0033038086
4.499998829E-5	-0.0072839355
4.509998829E-5	-0.0093537598
4.519998829E-5	-0.011264062
4.529998829E-5	-0.012022119
4.539998829E-5	-0.012234375
4.549998829E-5	-0.011515869
4.559998829E-5	-0.010214648
4.569998829E-5	-0.0083438965
4.579998829E-5	-0.0059655762
4.589998829E-5	-0.0038074219
4.599998829E-5	-0.0012761719
4.609998829E-5	0.0011219238
4.619998829E-5	0.0034277344
4.629998829E-5	0.0059497559
4.639998829E-5	0.0081052734
4.649998829E-5	0.0082305176
4.659998829E-5	0.0076807617
4.669998829E-5	0.0064942383
4.679998829E-5	0.0049754883
4.689998829E-5	0.0027553711
4.699998829E-5	5.550293E-4
4.709998829E-5	-0.0016782715
4.719998829E-5	-0.0045364746
4.729998829E-5	-0.0061330078
4.739998829E-5	-0.007190332
4.749998829E-5	-0.0073353516
4.759998829E-5	-0.0075476074
4.769998829E-5	-0.0069978516
4.779998829E-5	-0.0060552246
4.789998829E-5	-0.0046722656
4.799998829E-5	-0.0033394043
4.809998829E-5	-0.001284082
4.819998829E-5	9.4921875E-5
4.829998829E-5	0.0019604004
4.839998829E-5	0.0038746582
4.849998829E-5	0.0052035645
4.859998829E-5	0.0058258301
4.869998829E-5	0.005873291
4.879998829E-5	0.0054408691
4.889998829E-5	0.0046103027
4.899998829E-5	0.0035411133
4.909998829E-5	0.0022557129
4.919998829E-5	0.0019959961
4.929998829E-5	-9.769043E-4
4.939998829E-5	0.007579248
4.949998829E-5	0.014803857
4.959998829E-5	0.019440527
4.969998829E-5	0.029305811
4.979998829E-5	0.031619531
4.989998829E-5	0.033016992
4.999998829E-5	0.031231934
5.009998829E-5	0.027852979
5.019998829E-5	0.024226172
5.029998829E-5	0.020015332
5.039998829E-5	0.014607422
5.049998829E-5	0.0074091797
5.059998829E-5	3.9287109E-4
5.069998829E-5	-0.0054619629
5.079998829E-5	-0.011115088
5.089998829E-5	-0.01654541
5.099998829E-5	-0.022281592
5.109998829E-5	-0.022423975
5.119998829E-5	-0.020458301
5.129998829E-5	-0.016629785
5.139998829E-5	-0.011442041
5.149998829E-5	-0.0052562988
5.159998829E-5	0.0017125488
5.169998829E-5	0.012196143
5.179998829E-5	0.018789258
5.189998829E-5	0.022659961
5.199998829E-5	0.02532041
5.209998829E-5	0.02617207
5.219998829E-5	0.025466748
5.229998829E-5	0.023226855
5.239998829E-5	0.019675195
5.249998829E-5	0.015076758
5.259998829E-5	0.010354395
5.269998829E-5	0.0040394531
5.279998829E-5	-0.0026090332
5.289998829E-5	-0.01011709
5.299998829E-5	-0.014984473
5.309998829E-5	-0.017440576
5.319998829E-5	-0.018045703
5.329998829E-5	-0.017793896
5.339998829E-5	-0.016367432
5.349998829E-5	-0.013300928
5.359998829E-5	-0.0096925781
5.369998829E-5	-0.0056583984
5.379998829E-5	-9.8349609E-4
5.389998829E-5	0.0049649414
5.399998829E-5	0.011000391
5.409998829E-5	0.014041846
5.419998829E-5	0.016206592
5.429998829E-5	0.016969922
5.439998829E-5	0.016673291
5.449998829E-5	0.015401074
5.459998829E-5	0.013144043
5.469998829E-5	0.010127637
5.479998829E-5	0.0069596191
5.489998829E-5	0.0027487793
5.499998829E-5	-0.0014699707
5.509998829E-5	-0.0059497559
5.519998829E-5	-0.0092944336
5.529998829E-5	-0.011419629
5.539998829E-5	-0.012168457
5.549998829E-5	-0.012202734
5.559998829E-5	-0.011090039
5.569998829E-5	-0.0095646973
5.579998829E-5	-0.0073749023
5.589998829E-5	-0.0082951172
5.599998829E-5	-0.010934473
5.609998829E-5	-0.011435449
5.619998829E-5	-0.009937793
